Tempo,MSE,RMSE,MAE,Max_Error,PSNR,SSIM,Delta_E
Iteração 1,0.3145,0.5608,0.2571,3.0,53.1543,0.9993,0.454
Iteração 2,5.206,2.2817,0.465,107.0,40.9657,0.9953,0.7438
Iteração 3,16.6442,4.0797,0.6973,255.0,35.9182,0.9891,1.0324
Iteração 4,18.5069,4.302,0.828,255.0,35.4575,0.988,1.2203
Iteração 5,28.519,5.3403,0.9876,255.0,33.5795,0.9839,1.4326
Iteração 6,19.3175,4.3952,1.0675,255.0,35.2713,0.9865,1.5415
Iteração 7,25.4627,5.0461,1.1968,255.0,34.0718,0.9831,1.6974
Iteração 8,28.2662,5.3166,1.3179,255.0,33.6181,0.9792,1.8488
Iteração 9,20.8231,4.5632,1.3821,255.0,34.9453,0.9824,1.9427
Iteração 10,24.1509,4.9144,1.4986,255.0,34.3015,0.9798,2.0853
Iteração 11,25.9585,5.0949,1.5543,255.0,33.988,0.9782,2.1545
Iteração 12,32.333,5.6862,1.6562,255.0,33.0343,0.9756,2.274
Iteração 13,28.6698,5.3544,1.6912,255.0,33.5566,0.9762,2.3161
Iteração 14,38.6573,6.2175,1.8027,255.0,32.2585,0.9733,2.4569
Iteração 15,37.771,6.1458,1.8816,255.0,32.3592,0.9705,2.553
Iteração 16,43.0336,6.56,1.926,255.0,31.7927,0.9673,2.5963
Iteração 17,48.5435,6.9673,2.026,255.0,31.2695,0.9653,2.7135
Iteração 18,51.3246,7.1641,2.1098,255.0,31.0276,0.9611,2.8093
Iteração 19,75.3009,8.6776,2.2345,255.0,29.3628,0.9529,2.9497
Iteração 20,53.3533,7.3043,2.2193,255.0,30.8592,0.959,2.9472
Iteração 21,58.321,7.6368,2.2643,255.0,30.4726,0.9573,2.9913
Iteração 22,53.7325,7.3302,2.2792,255.0,30.8284,0.957,3.0041
Iteração 23,57.0698,7.5545,2.3486,255.0,30.5667,0.9534,3.0941
Iteração 24,71.0231,8.4275,2.4246,255.0,29.6168,0.9499,3.169
Iteração 25,60.1785,7.7575,2.4304,255.0,30.3364,0.9539,3.1873
Iteração 26,56.1241,7.4916,2.4055,225.0,30.6393,0.9561,3.1761
Iteração 27,77.2928,8.7916,2.5192,255.0,29.2494,0.9478,3.291
Iteração 28,67.094,8.1911,2.5093,255.0,29.864,0.9519,3.287
Iteração 29,69.4823,8.3356,2.5399,255.0,29.7121,0.9487,3.318
Iteração 30,65.7848,8.1108,2.5234,255.0,29.9495,0.9504,3.2992
Iteração 31,68.4489,8.2734,2.5443,255.0,29.7771,0.9495,3.3257
Iteração 32,67.9666,8.2442,2.5269,255.0,29.8078,0.9507,3.3031
Iteração 33,70.3048,8.3848,2.5675,255.0,29.661,0.9482,3.3513
Iteração 34,65.3325,8.0829,2.5426,255.0,29.9795,0.9513,3.3336
Iteração 35,65.5812,8.0982,2.5608,242.0,29.963,0.9499,3.3565
Iteração 36,72.588,8.5199,2.5831,255.0,29.5222,0.9484,3.3726
Iteração 37,78.92,8.8837,2.6235,255.0,29.1589,0.9455,3.42
Iteração 38,72.4175,8.5098,2.5894,255.0,29.5324,0.95,3.3875
Iteração 39,91.9243,9.5877,2.6829,255.0,28.4965,0.9433,3.4897
Iteração 40,63.3192,7.9573,2.5353,227.0,30.1154,0.9535,3.3335
Iteração 41,73.5867,8.5783,2.6084,255.0,29.4628,0.9495,3.4109
Iteração 42,86.9867,9.3267,2.6738,255.0,28.7363,0.9465,3.4926
Iteração 43,70.9161,8.4212,2.5983,255.0,29.6234,0.9494,3.3926
Iteração 44,77.0238,8.7763,2.6153,255.0,29.2646,0.9495,3.4221
Iteração 45,75.9271,8.7136,2.6088,255.0,29.3268,0.9497,3.4101
Iteração 46,81.1618,9.009,2.6461,255.0,29.0373,0.9476,3.4641
Iteração 47,74.9349,8.6565,2.6174,255.0,29.384,0.9506,3.4282
Iteração 48,78.1312,8.8392,2.644,255.0,29.2026,0.9498,3.4547
Iteração 49,82.9335,9.1068,2.6564,255.0,28.9435,0.9487,3.4747
Iteração 50,82.9374,9.107,2.6438,255.0,28.9433,0.9496,3.4611
